mission_name,upcoming,launch_date,rocket_name,payload,launch_site_name,launch_site_name_long,launch_success,launch_state
FalconSat,FALSE,"March 25, 2006",Falcon 1,FalconSAT-2,Kwajalein Atoll,Kwajalein Atoll Omelek Island,FALSE,Republic of the Marshall Islands
DemoSat,FALSE,"March 21, 2007",Falcon 1,DemoSAT,Kwajalein Atoll,Kwajalein Atoll Omelek Island,FALSE,Republic of the Marshall Islands
Trailblazer,FALSE,"August 2, 2008",Falcon 1,Trailblazer,Kwajalein Atoll,Kwajalein Atoll Omelek Island,FALSE,Republic of the Marshall Islands
RatSat,FALSE,"September 28, 2008",Falcon 1,RatSat,Kwajalein Atoll,Kwajalein Atoll Omelek Island,TRUE,Republic of the Marshall Islands
RazakSat,FALSE,"July 13, 2009",Falcon 1,RazakSAT,Kwajalein Atoll,Kwajalein Atoll Omelek Island,TRUE,Republic of the Marshall Islands
Falcon 9 Test Flight,FALSE,"June 4, 2010",Falcon 9,Dragon Qualification Unit,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
COTS 1,FALSE,"December 8, 2010",Falcon 9,COTS Demo Flight 1,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
COTS 2,FALSE,"May 22, 2012",Falcon 9,COTS Demo Flight 2,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-1,FALSE,"October 8, 2012",Falcon 9,CRS-1,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-2,FALSE,"March 1, 2013",Falcon 9,CRS-2,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CASSIOPE,FALSE,"September 29, 2013",Falcon 9,CASSIOPE,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
SES-8,FALSE,"December 3, 2013",Falcon 9,SES-8,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Thaicom 6,FALSE,"January 6, 2014",Falcon 9,Thaicom 6,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-3,FALSE,"April 18, 2014",Falcon 9,CRS-3,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
OG-2 Mission 1,FALSE,"July 14, 2014",Falcon 9,Orbcomm-OG2-M1,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
AsiaSat 8,FALSE,"August 5, 2014",Falcon 9,AsiaSat 8,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
