<<<<<<< HEAD
name,active,cost_per_launch,first_flight,country,height_feet,diameter_feet,mass_lb,description,rocket_id
Falcon 1,FALSE,6700000,24-Mar-06,Republic of the Marshall Islands,73,5.5,66460,"The Falcon 1 was an expendable launch system privately developed and manufactured by SpaceX during 2006-2009. On 28 September 2008, Falcon 1 became the first privately-developed liquid-fuel launch vehicle to go into orbit around the Earth.",falcon1
Falcon 9,TRUE,50000000,4-Jun-10,United States,229.6,12,1207920,Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit.,falcon9
Falcon Heavy,TRUE,90000000,6-Feb-18,United States,229.6,39.9,3125735,"With the ability to lift into orbit over 54 metric tons (119,000 lb)--a mass equivalent to a 737 jetliner loaded with passengers, crew, luggage and fuel--Falcon Heavy can lift more than twice the payload of the next closest operational vehicle, the Delta IV Heavy, at one-third the cost.",falconheavy
=======
﻿name,active,cost_per_launch,first_flight,country,height_feet,diameter_feet,mass_lb,description,rocket_id
Falcon 1,FALSE,6700000,24-Mar-06,Republic of the Marshall Islands,73,5.5,66460,"The Falcon 1 was an expendable launch system privately developed and manufactured by SpaceX during 2006-2009. On 28 September 2008, Falcon 1 became the first privately-developed liquid-fuel launch vehicle to go into orbit around the Earth.",falcon1
Falcon 9,TRUE,50000000,4-Jun-10,United States,229.6,12,1207920,Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit.,falcon9
Falcon Heavy,TRUE,90000000,6-Feb-18,United States,229.6,39.9,3125735,"With the ability to lift into orbit over 54 metric tons (119,000 lb)--a mass equivalent to a 737 jetliner loaded with passengers, crew, luggage and fuel--Falcon Heavy can lift more than twice the payload of the next closest operational vehicle, the Delta IV Heavy, at one-third the cost.",falconheavy
>>>>>>> 01e07bd762431d33dd91f5563cb23e80b9016b7b
BFR,FALSE,7000000,1-Dec-19,United States,348,30,9700000,"BFR is a privately funded next-generation reusable launch vehicle and spacecraft system developed by SpaceX. It was announced by Elon Musk in September 2017; the first spacecraft prototype was being manufactured as of March 2018 and will begin testing in early 2019. The overall space vehicle architecture includes both launch vehicles and spacecraft that are intended to completely replace all of SpaceX's existing space hardware by the early 2020s as well as ground infrastructure for rapid launch and relaunch, and zero-gravity propellant transfer technology to be deployed in low Earth orbit (LEO). The large payload to Earth orbit of up to 150,000 kg (330,000 lb) makes BFR a super heavy-lift launch vehicle.",bfr
